,rk,player,tm,fantpos,age,games,games_started,passes_completed,pass_attempts,passing_yds,passing_td,passes_intercepted,rushing_att,rushing_yds,yds_rushing_att,rushing_td,targets,receptions,receiving_yds,yds_reception,receiving_td,fumbles,fumbles_lost,touchdowns,2_pt_conv_made,2_pt_conv_passes,fantasy_points,fantasy_points_ppr_,draftkings_points,fanduel_points,vbd,posrank,ovrank
186,187,J.J. McCarthy,MIN,QB,22,2,2,24,41,301,2,3,7,50,7.14,1,0,0,0,,0,3,1,1,,1,25,25.0,32.0,28.0,,39,
187,188,Jonnu Smith,PIT,TE,30,6,3,0,0,0,0,0,1,10,10.00,0,26,20,117,5.85,2,1,0,2,,,25,44.7,47.7,34.7,,25,
188,189,Luther Burden,CHI,WR,22,6,0,0,0,0,0,0,2,6,3.00,0,14,12,172,14.33,1,0,0,1,,,24,35.8,38.8,29.8,,75,
189,190,Demario Douglas,NWE,WR,25,7,0,0,0,0,0,0,1,4,4.00,0,23,13,118,9.08,2,0,0,2,,,24,37.2,40.2,30.7,,74,
190,191,Mack Hollins,NWE,WR,32,7,5,0,0,0,0,0,1,4,4.00,0,14,11,119,10.82,2,0,0,2,,,24,35.3,38.3,29.8,,73,
191,192,Daniel Bellinger,NYG,TE,25,7,3,0,0,0,0,0,0,0,,0,11,10,173,17.30,1,0,0,1,,,23,33.3,36.3,28.3,,28,
192,193,Michael Carter,ARI,RB,26,4,2,0,0,0,0,0,35,97,2.77,1,12,9,77,8.56,0,0,0,1,,,23,32.4,32.4,27.9,,51,
193,194,Chris Moore,WAS,WR,32,6,3,0,0,0,0,0,1,9,9.00,0,17,8,164,20.50,1,0,0,1,,,23,31.3,34.3,27.3,,77,
194,195,Cade Otton,TAM,TE,26,7,7,0,0,0,0,0,0,0,,0,31,22,231,10.50,0,0,0,0,,,23,45.1,48.1,34.1,,29,
195,196,Josh Palmer,BUF,WR,26,6,3,0,0,0,0,0,0,0,,0,20,14,234,16.71,0,0,0,0,,,23,37.4,40.4,30.4,,76,
196,197,Mason Taylor,NYJ,TE,21,7,6,0,0,0,0,0,0,0,,0,34,24,208,8.67,0,0,0,0,1,,23,46.8,49.8,34.8,,30,
197,198,Cedric Tillman,CLE,WR,25,4,4,0,0,0,0,0,0,0,,0,20,11,106,9.64,2,0,0,2,,,23,33.6,36.6,28.1,,78,
198,199,Tyrone Tracy Jr.,NYG,RB,26,5,2,0,0,0,0,0,35,120,3.43,1,13,8,54,6.75,0,0,0,1,,,23,31.4,34.4,27.4,,52,
199,200,Tutu Atwell,LAR,WR,26,6,4,0,0,0,0,0,0,0,,0,9,4,164,41.00,1,0,0,1,,,22,26.4,29.4,24.4,,79,
200,201,Trey Benson,ARI,RB,23,4,1,0,0,0,0,0,29,160,5.52,0,16,13,64,4.92,0,0,0,0,,,22,35.4,38.4,28.9,,53,
201,202,Chigoziem Okonkwo,TEN,TE,26,7,5,0,0,0,0,0,0,0,,0,32,23,218,9.48,0,0,0,0,,,22,44.8,47.8,33.3,,31,
202,203,Dylan Sampson,CLE,RB,21,7,1,0,0,0,0,0,25,51,2.04,0,17,15,104,6.93,1,0,0,1,,,22,36.5,39.5,29.0,,54,
203,204,Malik Washington,MIA,WR,24,7,3,0,0,0,0,0,9,61,6.78,0,33,21,99,4.71,0,0,0,1,,,22,43.0,43.0,32.5,,80,
204,205,Mitchell Evans,CAR,TE,22,7,2,0,0,0,0,0,0,0,,0,11,9,90,10.00,2,0,0,2,,,21,30.0,30.0,25.5,,32,
205,206,Antonio Gibson,NWE,RB,27,5,0,0,0,0,0,0,25,106,4.24,1,3,2,6,3.00,0,2,1,2,,,21,23.2,27.2,22.2,,55,
206,207,Jaylin Lane,WAS,WR,23,7,2,0,0,0,0,0,1,7,7.00,0,21,10,142,14.20,0,2,0,1,,,21,30.9,33.9,25.9,,81,
207,208,Hunter Renfrow,CAR,WR,30,6,2,0,0,0,0,0,0,0,,0,26,15,89,5.93,2,0,0,2,,,21,35.9,35.9,28.4,,82,
208,209,Mike Evans,TAM,WR,32,4,4,0,0,0,0,0,0,0,,0,32,14,140,10.00,1,0,0,1,,,20,34.0,37.0,27.0,,84,
209,210,Ryan Flournoy,DAL,WR,26,7,1,0,0,0,0,0,4,25,6.25,0,20,13,179,13.77,0,0,0,0,,,20,33.4,36.4,26.9,,83,
210,211,Hunter Long,JAX,TE,27,7,2,0,0,0,0,0,0,0,,0,14,11,79,7.18,2,1,0,2,,,20,30.9,30.9,25.4,,34,
211,212,Brenton Strange,JAX,TE,25,5,5,0,0,0,0,0,0,0,,0,24,20,204,10.20,0,0,0,0,,,20,40.4,43.4,30.4,,33,
212,213,Michael Wilson,ARI,WR,25,7,5,0,0,0,0,0,0,0,,0,27,15,136,9.07,1,0,0,1,,,20,34.6,37.6,27.1,,85,
213,214,Cole Kmet,CHI,TE,26,6,6,0,0,0,0,0,0,0,,0,19,9,132,14.67,1,0,0,1,,,19,28.2,31.2,23.7,,35,
214,215,Miles Sanders,DAL,RB,28,4,0,0,0,0,0,0,20,117,5.85,1,8,8,30,3.75,0,1,1,1,,,19,26.7,30.7,22.7,,57,
215,216,Brashard Smith,KAN,RB,22,7,0,0,0,0,0,0,22,67,3.05,0,18,14,122,8.71,0,0,0,0,,,19,32.9,35.9,25.9,,56,
216,217,Tommy Tremble,CAR,TE,25,7,6,0,0,0,0,0,0,0,,0,21,17,126,7.41,1,0,0,1,,,19,35.6,38.6,27.1,,36,
217,218,Davis Allen,LAR,TE,24,7,0,0,0,0,0,0,0,0,,0,10,8,59,7.38,2,0,0,2,,,18,25.9,25.9,21.9,,40,
218,219,Rashod Bateman,BAL,WR,26,6,5,0,0,0,0,0,0,0,,0,22,11,120,10.91,1,0,0,1,,,18,29.0,32.0,23.5,,88,
219,220,Tyler Higbee,LAR,TE,32,6,5,0,0,0,0,0,0,0,,0,21,13,121,9.31,1,0,0,1,,,18,31.1,34.1,24.6,,37,
220,221,Jayden Higgins,HOU,WR,23,6,4,0,0,0,0,0,0,0,,0,13,9,121,13.44,1,0,0,1,,,18,27.1,30.1,22.6,,87,
221,222,Austin Hooper,NWE,TE,31,7,4,0,0,0,0,0,0,0,,0,11,10,116,11.60,1,0,0,1,,,18,27.6,30.6,22.6,,41,
222,223,Andrei Iosivas,CIN,WR,26,7,4,0,0,0,0,0,1,5,5.00,0,21,11,170,15.45,0,0,0,0,,,18,28.5,31.5,23.0,,91,
